npc_index,npc_subtype,level,name_ptbr,name_en
177,104,5,,
178,104,5,,
179,104,5,,
180,104,5,,
187,104,5,,
188,104,5,,
189,104,5,,...
190,104,5,,
191,104,5,,...
192,104,5,,
194,104,5,,...
200,104,5,,
254,104,5,,
255,104,5,,
256,104,5,,
257,104,5,,
258,104,5,,
259,104,5,,
330,104,5,,...
332,104,5,,...
338,104,5,,...
376,104,5,,...
845,106,5,Guardião Tyrant Origin,Origin the Tyrant Keeper
846,106,5,Guardião Abissal Origin,Origin the Abyssal Keeper
883,104,5,,...
1000,104,5,,...
340512,106,84,Executor,Executor
340673,106,96,Grande Forja,Grand Forge
340773,106,109,Rhamnousia,Rhamnousia
350403,126,57,Lapis Mecha,Mecha Lapis
351003,126,59,Silex Mecha,Mecha Silex
351603,126,61,Nyoka Mecha,Mecha Nyoka
355405,126,72,Esmagador de Estrada,Road Crusher
356005,126,74,Incinerador,Incinerator
356705,126,76,Pisoteio Insano,Mad Stomp
357205,126,78,Guardião da Torre,Tower Guardian
358098,126,92,Titã,Titan
358099,126,92,Titã,Titan
358698,126,94,Dagon,Dagon
358699,126,94,Dagon,Dagon
359398,126,96,Brontes,Brontes
359399,126,96,Brontes,Brontes
361011,106,70,Protetor da Pedra Sagrada do Abismo,Holy Stone Keeper of the Abyss
361309,106,84,Protetor da Pedra Sagrada da Loucura,Holy Stone Keeper of Madness
362099,106,97,Protetor da Pedra Sagrada da Destruição,Holy Stone Keeper of Destruction
375100,106,86,Xenogeyser,Xenogeyser
375198,106,86,Xenogeyser,Xenogeyser
375199,106,74,Xenogeyser,Xenogeyser
375200,106,102,Xenopsíquico,Xenopsycher
375298,106,102,Xenopsíquico,Xenopsycher
375300,106,118,Bestia 6,Bestia 6
375398,106,118,Bestia 6,Bestia 6
376000,230,99,Casulo,Coccoon
376100,230,101,Morposi,Morposi
376200,230,103,Gigas,Gigas
376300,253,99,Pulverizador do Nether,Nether Pulverizer
600001,105,74,Vastus,Vastus
600002,105,68,Locust,Locust
600003,105,81,Eldrige,Eldrige
600004,105,40,Espécime 13,Subject 13
600005,105,42,Flor da Corrupção,Flower of Corruption
600007,105,49,Foice Enferrujada,Rusty Sickle
600008,105,62,Draco Prime,Prime Draco
600011,105,36,Mecha Yusigula,Mecha Yusigula
600012,105,80,Grumble Gancho Mecha,Mecha Grumble Hook
600013,105,48,Fera Selvagem Mecha,Mecha Wild Beast
600014,105,50,Lunker Mecha,Mecha Lunker
600015,105,52,Lagarto Mecha,Mecha Lizard
600016,105,60,Temizl Mecha,Mecha Temizl
600017,105,70,Pinça Mecha,Mecha Tweezer
600018,105,67,Larva Infernal Mecha,Mecha Infernal Larva
600019,105,76,Fera de Guerra Mecha,Mecha Warbeast
600020,105,77,Ertelem Mecha,Mecha Ertelem
600021,105,79,Ravenous Mecha,Mecha Devourer
600022,105,50,Lapis Mecha,Mecha Lapis
600023,105,50,Nyoka Mecha,Mecha Nyoka
600024,105,38,Dagan Mecha,Mecha Dagan
600025,105,50,Silex Mecha,Mecha Silex
600026,105,66,Tamac Mecha,Mecha Tamac
600027,105,48,Larva Óptica Mecha,Mecha Optic Larva
600028,105,94,Castelo MPF-01,MPF-01 Castle
600029,105,88,Sarpedon,Sarpedon
600030,105,100,Corruptor de Mecha,Mecha Corruptor
600031,105,106,Orkus,Orkus
600032,105,118,Sondador,Sondador
600033,105,123,Hydra,Hydra
600201,105,50,Caminhante Dourado,Golden Walker
600202,105,35,Andador Dourado MK2,Golden Walker MK2
600203,105,55,Walker Dourado Z,Golden Walker Z
600204,105,35,Caminhante Dourado X,Golden Walker X
600301,130,70,Incinerador Rakan,Rakan Incinerator
600302,130,70,Triturador Rakan,Rakan Crusher
600303,130,70,Titã Rakan,Rakan Titan
600304,130,70,Incinerador Rakan,Rakan Incinerator
600305,130,70,Triturador Rakan,Rakan Crusher
600306,130,70,Titã Rakan,Rakan Titan
900411,105,60,Caminhante Dourado X,Golden Walker X
3430104,245,82,Gran Howler,Gran Howler
3430204,245,88,Gran Howler,Gran Howler
3430304,245,94,Gran Howler,Gran Howler
3430404,245,100,Gran Howler,Gran Howler
3435115,245,80,Gran Howler,Gran Howler
3435215,245,80,Gran Howler,Gran Howler
3435315,245,80,Gran Howler,Gran Howler
3435415,252,100,Gran Howler,Gran Howler
3460399,106,110,Guardião Tyrant Origin,Origin the Tyrant Keeper
3462599,106,110,Guardião Abissal Origin,Origin the Abyssal Keeper
4504318,126,108,Sentinela Orbital,Orbital Sentinel
4504328,126,106,Vespa Dançante,Dancing Wasp
4504338,126,102,Bombardeiro Louco,Mad Bomber
4504348,126,104,Grande Caçador,Big Hunter
4504901,253,102,Fantasma da Cidadela,Citadel Ghost
4505318,126,108,Sentinela Orbital,Orbital Sentinel
4505328,126,106,,
4505338,126,102,,
4505348,126,104,,
4505901,253,102,Fantasma da Cidadela,
4554318,126,108,Sentinela Orbital,Orbital Sentinel
4554328,126,106,Vespa Dançante,Dancing Wasp
4554338,126,102,Bombardeiro Louco,Mad Bomber
4554348,126,104,Grande Caçador,Big Hunter
6511701,106,112,Dazrah do Corruptor,Corruptor's Dazrah
6521701,106,112,Dazrah do Corruptor,Corruptor's Dazrah
