spot_id,location_kind,content_name_ptbr,floor_or_difficulty_ptbr,display_label_ptbr,map_name_ptbr,spot_name_ptbr,map_contents,map_ids,region_ids,mob_map_ids,npc_id,mob_name_ptbr,mob_level,mob_spawn_kind,exp_base_min,exp_base_values,exp_base_value_count,exp_status,spawn_value_by_map,spawn_rows,source_tables,catalog_version
map:4354:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada da Babilônia [mapa 4354],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada da Babilônia,43,4354,435108|435110|435111|435112|435114,4354,3435420,Arremessador Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4354:802,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4454:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada da Babilônia [mapa 4454],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada da Babilônia,47,4454,435108|435110|435111|435112|435114,4454,3435420,Arremessador Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4454:260,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4354:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada da Babilônia [mapa 4354],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada da Babilônia,43,4354,435108|435110|435111|435112|435114,4354,3435418,Cão Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4354:802,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4454:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada da Babilônia [mapa 4454],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada da Babilônia,47,4454,435108|435110|435111|435112|435114,4454,3435418,Cão Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4454:264,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4354:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada da Babilônia [mapa 4354],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada da Babilônia,43,4354,435108|435110|435111|435112|435114,4354,3435401,Gigas,98,normal,2560950,2560950,1,candidato_estatico_item_900,4354:39,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4454:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada da Babilônia [mapa 4454],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada da Babilônia,47,4454,435108|435110|435111|435112|435114,4454,3435401,Gigas,98,normal,2560950,2560950,1,candidato_estatico_item_900,4454:15,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4354:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada da Babilônia [mapa 4354],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada da Babilônia,43,4354,435108|435110|435111|435112|435114,4354,3435419,Larva Infernal Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4354:802,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4454:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada da Babilônia [mapa 4454],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada da Babilônia,47,4454,435108|435110|435111|435112|435114,4454,3435419,Larva Infernal Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4454:260,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4354:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada da Babilônia [mapa 4354],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada da Babilônia,43,4354,435108|435110|435111|435112|435114,4354,3435402,Morposi,98,normal,2560950,2560950,1,candidato_estatico_item_900,4354:39,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4454:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada da Babilônia [mapa 4454],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada da Babilônia,47,4454,435108|435110|435111|435112|435114,4454,3435402,Morposi,98,normal,2560950,2560950,1,candidato_estatico_item_900,4454:15,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
