mapa,spot_andar,npc_id,mob_level,exp_base,mob_name
Ruined City of Babylon,Area 4,3435420,98,204876,Crimson Thrower
Ruined City of Babylon,Area 4,3435418,98,204876,Crimson Hound
Ruined City of Babylon,Area 4,3435401,98,2560950,Gigas
Ruined City of Babylon,Area 4,3435419,98,204876,Crimson Infernal Larva
Ruined City of Babylon,Area 4,3435402,98,2560950,Morposi
Ruined City of Babylon,Area 1,3435120,86,87486,Crimson Thrower
Ruined City of Babylon,Area 1,3435118,86,87486,Crimson Hound
Ruined City of Babylon,Area 1,3435101,86,1345950,Gigas
Ruined City of Babylon,Area 1,3435119,86,87486,Crimson Infernal Larva
Ruined City of Babylon,Area 1,3435102,86,1345950,Morposi
Ruined City of Babylon,Area 2,3435220,90,111211,Crimson Thrower
Ruined City of Babylon,Area 2,3435218,90,111211,Crimson Hound
Ruined City of Babylon,Area 2,3435201,90,1710950,Gigas
Ruined City of Babylon,Area 2,3435219,90,111211,Crimson Infernal Larva
Ruined City of Babylon,Area 2,3435202,90,1710950,Morposi
Ruined City of Babylon,Area 3,3435320,94,154888,Crimson Thrower
Ruined City of Babylon,Area 3,3435318,94,154888,Crimson Hound
Ruined City of Babylon,Area 3,3435301,94,2115950,Gigas
Ruined City of Babylon,Area 3,3435319,94,154888,Crimson Infernal Larva
Ruined City of Babylon,Area 3,3435302,94,2115950,Morposi
Beltran Armory,Beltran Armory Supplies Depot,305914,11,11,Beltran Outlaw Knife Fighter
Beltran Armory,Beltran Armory Outer Perimeter,305903,10,10,Beltran Outlaw Arsonist
Beltran Armory,Beltran Armory Outer Perimeter,305902,10,10,Beltran Mech Combatant
Beltran Armory,Beltran Armory Outer Perimeter,305901,10,10,Beltran Boarder Guard
Beltran Armory,Beltran Armory Outer Perimeter,305905,11,11,Beltran Laser Bork
Beltran Armory,Beltran Armory Outer Perimeter,305904,11,11,Beltran Outlaw Knife Fighter
Beltran Armory,Beltran Armory Outer Perimeter,305907,12,12,Beltran Soma Shocktrooper
Beltran Armory,Beltran Armory Outer Perimeter,305908,12,12,Beltran Patrol Drone
Beltran Armory,Beltran Armory Ruin,305906,11,11,Beltran Soma Sentry
Beltran Armory,Beltran Armory Ruin,305907,12,12,Beltran Soma Shocktrooper
Beltran Armory,Beltran Armory Headquarters,305909,12,12,Beltran Sentry
Beltran Armory,Beltran Armory Headquarters,305912,13,14,Beltran Passer Alpha
Beltran Armory,Beltran Armory Headquarters,305911,13,14,Beltran Heavy Cavalry
Beltran Armory,Beltran Armory Headquarters,305913,13,14,Beltran Crawler Mercenary
Beltran Armory,Beltran Armory Headquarters,305910,13,14,Beltran Super Soldier
Instalação de Suprimento Orbital,Dock A-02,4504029,94,50719,Rampaging Assault Bork
Instalação de Suprimento Orbital,Dock A-02,4504021,94,50719,A02 Mech Warrior
Instalação de Suprimento Orbital,Dock A-02,4504022,94,50719,A02 Mech Gunner
Instalação de Suprimento Orbital,Dock A-03,4504039,94,50719,Rampaging Assault Bork
Instalação de Suprimento Orbital,Dock A-03,4504031,94,50719,A03 Mech Warrior
Instalação de Suprimento Orbital,Dock A-03,4504032,94,50719,A03 Mech Gunner
Instalação de Suprimento Orbital,Dock A-04,4504041,99,64469,A04 Snatcher Raider
Instalação de Suprimento Orbital,Dock A-04,4504049,99,64469,Rampaging Pathfinder
Instalação de Suprimento Orbital,Dock A-04,4504042,99,64469,A04 Snatcher Sniper
Instalação de Suprimento Orbital,Dock A-05,4504051,99,64469,A05 Snatcher Raider
Instalação de Suprimento Orbital,Dock A-05,4504059,99,64469,Rampaging Pathfinder
Instalação de Suprimento Orbital,Dock A-05,4504052,99,64469,A05 Snatcher Sniper
Instalação de Suprimento Orbital,Dock A-06,4504061,99,64469,A06 Snatcher Raider
Instalação de Suprimento Orbital,Dock A-06,4504069,99,64469,Rampaging Pathfinder
Instalação de Suprimento Orbital,Dock A-06,4504062,99,64469,A06 Snatcher Sniper
Instalação de Suprimento Orbital,Dock A-06,4504064,99,64469,A06 Vafer Siege Trooper
Instalação de Suprimento Orbital,Dock A-06,4504063,99,64469,A06 Vafer Heavy Trooper
Instalação de Suprimento Orbital,Dock A-07,4504071,104,80719,A07 Nether Warrior
Instalação de Suprimento Orbital,Dock A-07,4504079,104,80719,Rampaging Armored Ghost
Instalação de Suprimento Orbital,Dock A-07,4504072,104,80719,A07 Nether Sentry
Instalação de Suprimento Orbital,Dock A-08,4504081,104,80719,A08 Nether Warrior
Instalação de Suprimento Orbital,Dock A-08,4504083,104,80719,A08 Nether Annihilator
Instalação de Suprimento Orbital,Dock A-08,4504089,104,80719,Rampaging Armored Ghost
Instalação de Suprimento Orbital,Dock A-08,4504082,104,80719,A08 Nether Sentry
Instalação de Suprimento Orbital,Dock A-09,4504091,104,80719,A09 Nether Warrior
Instalação de Suprimento Orbital,Dock A-09,4504092,104,80719,A09 Nether Sentry
Instalação de Suprimento Orbital,Dock A-09,4504093,104,80719,A09 Nether Annihilator
Instalação de Suprimento Orbital,Dock A-09,4504099,104,80719,Rampaging Armored Ghost
Instalação de Suprimento Orbital,Dock B-02,4504122,94,50719,B02 Mech Gunner
Instalação de Suprimento Orbital,Dock B-02,4504129,94,50719,Rampaging Assault Bork
Instalação de Suprimento Orbital,Dock B-02,4504121,94,50719,B02 Mech Warrior
Instalação de Suprimento Orbital,Dock B-03,4504139,94,50719,Rampaging Assault Bork
Instalação de Suprimento Orbital,Dock B-03,4504131,94,50719,B03 Mech Warrior
Instalação de Suprimento Orbital,Dock B-03,4504132,94,50719,B03 Mech Gunner
Instalação de Suprimento Orbital,Dock B-04,4504141,99,64469,B04 Snatcher Raider
Instalação de Suprimento Orbital,Dock B-04,4504149,99,64469,Rampaging Pathfinder
Instalação de Suprimento Orbital,Dock B-04,4504142,99,64469,B04 Snatcher Sniper
Instalação de Suprimento Orbital,Dock B-05,4504151,99,64469,B05 Snatcher Raider
Instalação de Suprimento Orbital,Dock B-05,4504159,99,64469,Rampaging Pathfinder
Instalação de Suprimento Orbital,Dock B-05,4504152,99,64469,B05 Snatcher Sniper
Instalação de Suprimento Orbital,Dock B-06,4504161,99,64469,B06 Snatcher Raider
Instalação de Suprimento Orbital,Dock B-06,4504164,99,64469,B06 Vafer Siege Trooper
Instalação de Suprimento Orbital,Dock B-06,4504163,99,64469,B06 Vafer Heavy Trooper
Instalação de Suprimento Orbital,Dock B-06,4504169,99,64469,Rampaging Pathfinder
Instalação de Suprimento Orbital,Dock B-06,4504162,99,64469,B06 Snatcher Sniper
Instalação de Suprimento Orbital,Dock B-07,4504172,104,80719,B07 Nether Sentry
Instalação de Suprimento Orbital,Dock B-07,4504179,104,80719,Rampaging Armored Ghost
Instalação de Suprimento Orbital,Dock B-07,4504171,104,80719,B07 Nether Warrior
Instalação de Suprimento Orbital,Dock B-08,4504183,104,80719,B08 Nether Annihilator
Instalação de Suprimento Orbital,Dock B-08,4504181,104,80719,B08 Nether Warrior
Instalação de Suprimento Orbital,Dock B-08,4504182,104,80719,B08 Nether Sentry
Instalação de Suprimento Orbital,Dock B-08,4504189,104,80719,Rampaging Armored Ghost
Instalação de Suprimento Orbital,Dock B-09,4504193,104,80719,B09 Nether Annihilator
Instalação de Suprimento Orbital,Dock B-09,4504199,104,80719,Rampaging Armored Ghost
