mapa,spot_andar,npc_id,mob_level,exp_base,mob_name
Cidade Arruinada da Babilônia,Área 4,3435420,98,204876,Arremessador Carmesim
Cidade Arruinada da Babilônia,Área 4,3435418,98,204876,Cão Carmesim
Cidade Arruinada da Babilônia,Área 4,3435401,98,2560950,Gigas
Cidade Arruinada da Babilônia,Área 4,3435419,98,204876,Larva Infernal Carmesim
Cidade Arruinada da Babilônia,Área 4,3435402,98,2560950,Morposi
Cidade Arruinada da Babilônia,Área 1,3435120,86,87486,Arremessador Carmesim
Cidade Arruinada da Babilônia,Área 1,3435118,86,87486,Cão Carmesim
Cidade Arruinada da Babilônia,Área 1,3435101,86,1345950,Gigas
Cidade Arruinada da Babilônia,Área 1,3435119,86,87486,Larva Infernal Carmesim
Cidade Arruinada da Babilônia,Área 1,3435102,86,1345950,Morposi
Cidade Arruinada da Babilônia,Área 2,3435220,90,111211,Arremessador Carmesim
Cidade Arruinada da Babilônia,Área 2,3435218,90,111211,Cão Carmesim
Cidade Arruinada da Babilônia,Área 2,3435201,90,1710950,Gigas
Cidade Arruinada da Babilônia,Área 2,3435219,90,111211,Larva Infernal Carmesim
Cidade Arruinada da Babilônia,Área 2,3435202,90,1710950,Morposi
Cidade Arruinada da Babilônia,Área 3,3435320,94,154888,Arremessador Carmesim
Cidade Arruinada da Babilônia,Área 3,3435318,94,154888,Cão Carmesim
Cidade Arruinada da Babilônia,Área 3,3435301,94,2115950,Gigas
Cidade Arruinada da Babilônia,Área 3,3435319,94,154888,Larva Infernal Carmesim
Cidade Arruinada da Babilônia,Área 3,3435302,94,2115950,Morposi
Arsenal de Beltran,Depósito de Suprimentos do Arsenal de Beltran,305914,11,11,Lutador de Facas Fora da Lei Beltran
Arsenal de Beltran,Perímetro Externo do Arsenal de Beltran,305903,10,10,Beltran Fora da Lei Incendiário
Arsenal de Beltran,Perímetro Externo do Arsenal de Beltran,305902,10,10,Combatente Mecânico Beltran
Arsenal de Beltran,Perímetro Externo do Arsenal de Beltran,305901,10,10,Guarda de Fronteira Beltran
Arsenal de Beltran,Perímetro Externo do Arsenal de Beltran,305905,11,11,Beltran Bork Laser
Arsenal de Beltran,Perímetro Externo do Arsenal de Beltran,305904,11,11,Lutador de Facas Fora da Lei Beltran
