Pak,Entry
"pakchunk141-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/UI/UIResource/UIAtlas/Sprite/InGame/Minimap/icon_shop_exchange_Sprite.uasset"
"pakchunk141-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/UI/UIResource/UIAtlas/Sprite/InGame/Minimap/icon_shop_exchange_Sprite.uexp"
"pakchunk153-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/UI/UIResource/UIAtlas/Sprite/InGame/Nameplate/icon_shop_exchange_Sprite.uasset"
"pakchunk153-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/UI/UIResource/UIAtlas/Sprite/InGame/Nameplate/icon_shop_exchange_Sprite.uexp"
"pakchunk90_s1-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/Character/NPC/_Shop_Npc/CorExchangeShop/Anim/AM_NPC_CorExchangeShop_Welcome.uasset"
"pakchunk90_s1-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/Character/NPC/_Shop_Npc/CorExchangeShop/Anim/AM_NPC_CorExchangeShop_Welcome.uexp"
"pakchunk90_s1-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/Character/NPC/_Shop_Npc/CorExchangeShop/Anim/Idle_01.uasset"
"pakchunk90_s1-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/Character/NPC/_Shop_Npc/CorExchangeShop/Anim/Idle_01.uexp"
"pakchunk90_s1-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/Character/NPC/_Shop_Npc/CorExchangeShop/Anim/Stand.uasset"
"pakchunk90_s1-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/Character/NPC/_Shop_Npc/CorExchangeShop/Anim/Stand.uexp"
"pakchunk90_s1-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/Character/NPC/_Shop_Npc/CorExchangeShop/Anim/welcome.uasset"
"pakchunk90_s1-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/Character/NPC/_Shop_Npc/CorExchangeShop/Anim/welcome.uexp"
"pakchunk90_s1-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/Character/NPC/_Shop_Npc/CorExchangeShop/Mat/MI_N_CorExchangeShop_Body_001.uasset"
"pakchunk90_s1-Android_ASTC.pak","ProjectRF/Content/Streaming/ArtAsset/Character/NPC/_Shop_Npc/CorExchangeShop/Mat/MI_N_CorExchangeShop_Body_001.uexp"
