ItemIndex,NameStringIndex,DescStringIndex,BindingType,ItemGroup,ExchangeItem,WGExchangeItem,TradeAble,Hide_WorldIndex,Grade,Quality,Tier,ItemCategory,ItemSubCategory,ItemType,EquipPartType,Equip_Biosuit,TalicColor,ItemSetIndex,StackCount,UseInventorySlotLimit,UseLv,UseLvLimit,CanUseOnUG,Sell_MoneyItemIndex,Sell_MoneyValue,Trade_MoneyValue,TeleportIndex,DrawIndex,ItemEnchantStatusIndex,AddStatGroupIndex,Status_1_Type,Status_1_Base,Status_2_Type,Status_2_Base,Status_3_Type,Status_3_Base,SubStatus_1_Type,SubStatus_1_Base,SubStatus_2_Type,SubStatus_2_Base,SubStatus_3_Type,SubStatus_3_Base,SubStatus_4_Type,SubStatus_4_Base,SubStatus_5_Type,SubStatus_5_Base,SubStatus_6_Type,SubStatus_6_Base,SubStatus_7_Type,SubStatus_7_Base,PrimeStatus_1_Type,PrimeStatus_1_Base,PrimeStatus_2_Type,PrimeStatus_2_Base,PrimeStatus_3_Type,PrimeStatus_3_Base,PrimeStatus_4_Type,PrimeStatus_4_Base,PrimeStatus_5_Type,PrimeStatus_5_Base,Option_Count_Max,ItemOptionGroupIndex1,ItemOptionGroupIndex2,ItemOptionGroupIndex3,ItemReward,Box_RewardIndex,Remodel_Index,Remodel_ItemIndex,AlchemyIndex,Collection_ReplaceIndex,CoolTime,CoolTimeGroupIndex,GetSkillGroupIndex,ActiveSkillIndex,IconText,IconTextAlign,Icon,Icon_s,WeaponModelIndex,GetInfoButton,SoleGrade,PeriodItem,PeriodEquipItem,SUBSCRIPTION_EFFECT_DAY,NamePTBR,DescriptionPTBR
1001,Item_Name_1001,Item_Desc_1001,False,1001,True,False,True,[],1,1,0,8,35,2011,0,0,0,0,9999,0,0,0,False,1,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item/icon_item_ticket_junkyard.icon_item_ticket_junkyard,,0,True,False,False,False,0,Extensão de Permissão do Ferro-Velho de Androides,Um bilhete para estadia prolongada no Ferro-Velho de Androides.
1002,Item_Name_1002,Item_Desc_1002,False,1002,True,False,True,[],1,1,0,8,35,2011,0,0,0,0,9999,0,0,0,False,1,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item/icon_item_ticket_nemesis_base.icon_item_ticket_nemesis_base,,0,True,False,False,False,0,Extensão de Permissão da Base Secreta Nemesis,Um bilhete para estadia prolongada na Base Secreta Nemesis.
1003,Item_Name_1003,Item_Desc_1003,False,1003,True,False,True,[],1,1,0,8,35,2011,0,0,0,0,9999,0,0,0,False,1,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item/icon_item_ticket_acc.icon_item_ticket_acc,,0,True,False,False,False,0,Extensão de Permissão do Campo de Mineração (Accretia),Um bilhete para estadia prolongada no Campo de Mineração durante a ocupação Accretiano.
1004,Item_Name_1004,Item_Desc_1004,False,1004,True,False,True,[],1,1,0,8,35,2011,0,0,0,0,9999,0,0,0,False,1,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item/icon_item_ticket_bel.icon_item_ticket_bel,,0,True,False,False,False,0,Extensão de Permissão do Campo de Mineração (Bellato),Um bilhete para estadia prolongada no Campo de Mineração durante a ocupação Bellateana.
1005,Item_Name_1005,Item_Desc_1005,False,1005,True,False,True,[],1,1,0,8,35,2011,0,0,0,0,9999,0,0,0,False,1,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item/icon_item_ticket_cor.icon_item_ticket_cor,,0,True,False,False,False,0,Extensão de Permissão do Campo de Mineração (Cora),Um bilhete para estadia prolongada no Campo de Mineração durante a ocupação de Cora.
1006,Item_Name_1006,Item_Desc_1006,False,1006,True,False,True,[],1,1,0,8,35,2011,0,0,0,0,9999,0,0,0,False,1,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item/icon_item_ticket_PMStimeextension_3rdfloor.icon_item_ticket_PMStimeextension_3rdfloor,,0,True,False,False,False,0,Extensão de Permissão do Campo de Mineração Exclusivo,Um bilhete para estadia prolongada no coração do Campo de Mineração da Mina Crag.
1007,Item_Name_1007,Item_Desc_1007,False,1007,True,False,True,[],1,1,0,8,35,2011,0,0,0,0,9999,0,0,0,False,1,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item/icon_item_ticket_Exoplanet.icon_item_ticket_Exoplanet,,0,True,False,False,False,0,Extensão de Permissão da Cratera Albern,Um bilhete para estadia prolongada na Cratera Albern
1020,Item_Name_1020,Item_Desc_1020,False,1020,True,False,True,[],1,1,0,8,35,2011,0,0,0,0,9999,0,0,0,False,1,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item/icon_item_ticket_Ushas_Swarm_stay.icon_item_ticket_Ushas_Swarm_stay,,0,True,False,False,False,0,Extensão de Permissão de Enxame Ushas,Um bilhete para estadia prolongada na área de Enxame Ushas.
1201,Item_Name_1201,Item_Desc_1201,False,1201,True,False,True,[],1,1,0,8,35,2012,0,0,0,0,9999,0,0,0,False,1,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item/icon_item_ticket_nemesis_3rdfloor.icon_item_ticket_nemesis_3rdfloor,,0,True,False,False,False,0,Bilhete de Entrada da Base Secreta Nemesis 3º Andar,Um bilhete de entrada especial que teleporta você diretamente para a Base Secreta Nemesis 3º Andar.
1202,Item_Name_1202,Item_Desc_1202,False,1202,True,False,True,[],1,1,0,8,35,2012,0,0,0,0,9999,0,0,0,False,1,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item/icon_item_ticket_miningSite_3rdfloor.icon_item_ticket_miningSite_3rdfloor,,0,True,False,False,False,0,Bilhete de Entrada do Campo de Mineração Público 3º Andar,Um bilhete de entrada especial que te teletransporta diretamente para o Campo de Mineração Público 3º Andar.
