CollectionType,CollectionItemCount,CompleteReward_Stat1Type,CompleteReward_Stat1Value,CompleteReward_Stat2Type,CompleteReward_Stat2Value,CompleteReward_Stat1Enum,CompleteReward_Stat1NamePTBR,CompleteReward_Stat2Enum,CompleteReward_Stat2NamePTBR
1,10,35,2,0,0,STAT_ATKPOW,ATQ,,
1,20,147,2,0,0,STAT_FPUSEDEC,Redução de Consumo de FP,,
1,30,41,2,0,0,STAT_CRIHITPOW,Chance de Crítico,,
1,40,42,2,0,0,STAT_CRIRESPOW,Res. a Crítico,,
1,55,40,2,0,0,STAT_DODGEPOW,Evasão,,
1,70,148,2,0,0,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP,,
1,100,83,1,0,0,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,,
1,130,38,2,0,0,STAT_HITPOW,Precisão,,
1,160,98,2,0,0,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,,
1,190,36,2,0,0,STAT_DEFPOW,DEF,,
1,220,35,2,0,0,STAT_ATKPOW,ATQ,,
1,250,41,2,0,0,STAT_CRIHITPOW,Chance de Crítico,,
1,280,40,2,0,0,STAT_DODGEPOW,Evasão,,
1,310,83,1,0,0,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,,
1,340,77,2,0,0,STAT_CUTTINGRES,DEF de Corte,,
1,370,33,2,0,0,STAT_WEAPONATKPOW,ATQ da Arma,,
1,400,74,2,0,0,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma,,
1,430,76,2,0,0,STAT_IMPULSIVEPOW,ATQ de Impacto,,
1,460,106,2,0,0,STAT_ADDDMG,Dano Fixo,,
1,490,76,2,0,0,STAT_IMPULSIVEPOW,ATQ de Impacto,,
1,520,83,1,38,2,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_HITPOW,Precisão
1,550,38,2,98,2,STAT_HITPOW,Precisão,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar
1,580,79,2,36,2,STAT_PIERCINGRES,DEF Penetr.,STAT_DEFPOW,DEF
1,610,36,2,150,2,STAT_DEFPOW,DEF,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,640,157,2,147,2,STAT_P_CRIRESPOWRATE,Aum. de Res Crít. FÍS,STAT_FPUSEDEC,Redução de Consumo de FP
1,670,91,10,42,2,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item,STAT_CRIRESPOW,Res. a Crítico
1,700,160,2,148,2,STAT_F_DEFPIERCE,Penetração de DEF de Força,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1,730,106,2,37,40,STAT_ADDDMG,Dano Fixo,STAT_MAXHP,HP Máx.
1,760,38,2,149,2,STAT_HITPOW,Precisão,STAT_STIFFRESRATE,Resistência a Cambaleio
1,790,98,2,99,2,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,STAT_WEAPONATKRES,Res ATQ de Arma
1,820,99,2,150,2,STAT_WEAPONATKRES,Res ATQ de Arma,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,850,37,40,78,2,STAT_MAXHP,HP Máx.,STAT_CUTTINGPOW,ATQ de Corte
1,880,38,2,91,10,STAT_HITPOW,Precisão,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1,910,83,1,75,2,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_IMPULSIVERES,DEF de Impacto
1,940,99,2,149,2,STAT_WEAPONATKRES,Res ATQ de Arma,STAT_STIFFRESRATE,Resistência a Cambaleio
