CollectionIndex,Number,StatType,StatValue,StatEnum,StatNamePTBR
1001,0,0,0,,
1004,1,85,2,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1005,1,38,2,STAT_HITPOW,Precisão
1007,0,0,0,,
1008,1,78,2,STAT_CUTTINGPOW,ATQ de Corte
1009,1,76,2,STAT_IMPULSIVEPOW,ATQ de Impacto
1015,1,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1016,0,0,0,,
1017,0,0,0,,
1021,1,96,2,STAT_MAXFPRATE,Aumento de FP Máx.
1022,1,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1023,1,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1025,0,0,0,,
1028,1,99,1,STAT_WEAPONATKRES,Res ATQ de Arma
1029,1,99,1,STAT_WEAPONATKRES,Res ATQ de Arma
1031,0,0,0,,
1034,1,50,50,STAT_SKILLDMGINCRATE_SINGLE,Aum. de Dano Alvo Úni.
1035,1,52,50,STAT_SKILLDMGINCRATE_MULTI,Aum. de Dano em Área
1038,0,0,0,,
1040,1,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1041,1,147,1,STAT_FPUSEDEC,Redução de Consumo de FP
1045,1,21,1,STAT_F_DEFPOW,DEF de Força
1046,1,108,1,STAT_F_SUBDMG,Res. Dano Força Fixo
1047,1,15,50,STAT_P_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FÍS
1048,0,0,0,,
1049,0,0,0,,
1050,0,0,0,,
1051,1,35,1,STAT_ATKPOW,ATQ
1052,2,85,2,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1053,2,38,1,STAT_HITPOW,Precisão
1054,0,0,0,,
1055,0,0,0,,
1056,0,0,0,,
1057,1,91,5,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1058,2,38,1,STAT_HITPOW,Precisão
1059,2,40,1,STAT_DODGEPOW,Evasão
1060,0,0,0,,
1061,0,0,0,,
1062,0,0,0,,
1063,1,85,2,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1064,2,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1065,2,148,1,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1066,0,0,0,,
1067,0,0,0,,
1068,0,0,0,,
1069,1,85,2,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1070,2,37,30,STAT_MAXHP,HP Máx.
1071,2,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1072,0,0,0,,
1073,0,0,0,,
1074,0,0,0,,
1075,1,36,1,STAT_DEFPOW,DEF
1076,2,41,1,STAT_CRIHITPOW,Chance de Crítico
1077,2,37,30,STAT_MAXHP,HP Máx.
1078,0,0,0,,
1079,0,0,0,,
1080,0,0,0,,
1081,1,91,10,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1082,2,147,2,STAT_FPUSEDEC,Redução de Consumo de FP
1083,2,37,60,STAT_MAXHP,HP Máx.
1084,0,0,0,,
1085,0,0,0,,
1086,0,0,0,,
1087,1,36,2,STAT_DEFPOW,DEF
1088,2,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1089,2,147,2,STAT_FPUSEDEC,Redução de Consumo de FP
1090,0,0,0,,
1091,0,0,0,,
1092,0,0,0,,
1093,1,91,5,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1094,2,37,30,STAT_MAXHP,HP Máx.
1095,2,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1096,0,0,0,,
1097,0,0,0,,
1098,0,0,0,,
1099,1,40,2,STAT_DODGEPOW,Evasão
1100,2,148,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1101,2,41,2,STAT_CRIHITPOW,Chance de Crítico
1102,0,0,0,,
1103,0,0,0,,
1104,0,0,0,,
1105,1,147,2,STAT_FPUSEDEC,Redução de Consumo de FP
1106,2,85,4,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1107,2,35,2,STAT_ATKPOW,ATQ
1108,0,0,0,,
1109,0,0,0,,
1110,0,0,0,,
1111,1,37,60,STAT_MAXHP,HP Máx.
1112,2,40,2,STAT_DODGEPOW,Evasão
1113,2,41,2,STAT_CRIHITPOW,Chance de Crítico
1114,0,0,0,,
1115,0,0,0,,
1116,0,0,0,,
1117,1,36,2,STAT_DEFPOW,DEF
1118,2,85,4,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1119,2,147,2,STAT_FPUSEDEC,Redução de Consumo de FP
1120,0,0,0,,
1121,0,0,0,,
1122,0,0,0,,
1123,1,38,3,STAT_HITPOW,Precisão
1124,2,36,2,STAT_DEFPOW,DEF
1125,2,148,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1126,0,0,0,,
1127,0,0,0,,
1128,0,0,0,,
1129,1,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1130,2,38,2,STAT_HITPOW,Precisão
1131,2,91,10,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1132,0,0,0,,
1133,0,0,0,,
1134,0,0,0,,
1135,1,40,2,STAT_DODGEPOW,Evasão
1136,2,35,2,STAT_ATKPOW,ATQ
1137,2,148,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1138,0,0,0,,
1139,0,0,0,,
1140,0,0,0,,
1141,1,85,4,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1142,2,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1143,2,38,2,STAT_HITPOW,Precisão
1144,0,0,0,,
1145,0,0,0,,
1146,0,0,0,,
1147,1,91,20,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1148,2,36,2,STAT_DEFPOW,DEF
