CollectionIndex,CollectionNamePTBR,Slot,ItemGroup,RequiredQuantity,RequiredEnchantLevel,AcceptedItemIndex,AcceptedItemNamePTBR,AcceptedItemGrade,AcceptedItemTier
1001,Colecionáveis do Arsenal 1,1,151000,1,0,151000,Pacote de Rações de Campo,1,0
1001,Colecionáveis do Arsenal 1,1,151000,1,0,151500,Pacote de Rações de Campo,1,0
1001,Colecionáveis do Arsenal 1,2,152000,1,0,152000,Registro de Requisição,2,0
1001,Colecionáveis do Arsenal 1,2,152000,1,0,152500,Registro de Requisição,2,0
1004,Colecionáveis do Arsenal 2,1,152000,1,0,152000,Registro de Requisição,2,0
1004,Colecionáveis do Arsenal 2,1,152000,1,0,152500,Registro de Requisição,2,0
1004,Colecionáveis do Arsenal 2,2,153000,1,0,153000,Bloco de Notas do Repórter,3,0
1004,Colecionáveis do Arsenal 2,2,153000,1,0,153500,Bloco de Notas do Repórter,3,0
1005,Colecionáveis do Arsenal 3,1,153000,1,0,153000,Bloco de Notas do Repórter,3,0
1005,Colecionáveis do Arsenal 3,1,153000,1,0,153500,Bloco de Notas do Repórter,3,0
1005,Colecionáveis do Arsenal 3,2,154000,1,0,154000,Dog Tag de Soldado de Bellato,4,0
1005,Colecionáveis do Arsenal 3,2,154000,1,0,154500,Dog Tag de Soldado de Bellato,4,0
1007,Pertences do Mercenário Bellato 1,1,151001,1,0,151001,Tablet do Mecânico,1,0
1007,Pertences do Mercenário Bellato 1,1,151001,1,0,151501,Tablet do Mecânico,1,0
1007,Pertences do Mercenário Bellato 1,2,152001,1,0,152001,Contrato de Mercenário Danificado,2,0
1007,Pertences do Mercenário Bellato 1,2,152001,1,0,152501,Contrato de Mercenário Danificado,2,0
1008,Pertences do Mercenário Bellato 2,1,152001,1,0,152001,Contrato de Mercenário Danificado,2,0
1008,Pertences do Mercenário Bellato 2,1,152001,1,0,152501,Contrato de Mercenário Danificado,2,0
1008,Pertences do Mercenário Bellato 2,2,153001,1,0,153001,Cartão de Segurança Marcado,3,0
1008,Pertences do Mercenário Bellato 2,2,153001,1,0,153501,Cartão de Segurança Marcado,3,0
1009,Pertences do Mercenário Bellato 3,1,153001,1,0,153001,Cartão de Segurança Marcado,3,0
1009,Pertences do Mercenário Bellato 3,1,153001,1,0,153501,Cartão de Segurança Marcado,3,0
1009,Pertences do Mercenário Bellato 3,2,154001,1,0,154001,Antiguidade da Terra - Moeda Dex,4,0
1009,Pertences do Mercenário Bellato 3,2,154001,1,0,154501,Antiguidade da Terra - Moeda Dex,4,0
1015,Colecionáveis da Floresta de Lowed 1,1,151002,1,0,151002,Ferramenta de Hack Portátil,1,0
1015,Colecionáveis da Floresta de Lowed 1,1,151002,1,0,151502,Ferramenta de Hack Portátil,1,0
1015,Colecionáveis da Floresta de Lowed 1,2,152002,2,0,152002,Cartão-Chave Digital,2,0
1015,Colecionáveis da Floresta de Lowed 1,2,152002,2,0,152502,Cartão-Chave Digital,2,0
1016,Colecionáveis da Floresta de Lowed 2,1,152002,1,0,152002,Cartão-Chave Digital,2,0
1016,Colecionáveis da Floresta de Lowed 2,1,152002,1,0,152502,Cartão-Chave Digital,2,0
1016,Colecionáveis da Floresta de Lowed 2,2,153002,1,0,153002,Lingote de Prata Azul,3,0
1016,Colecionáveis da Floresta de Lowed 2,2,153002,1,0,153502,Lingote de Prata Azul,3,0
1017,Colecionáveis da Floresta de Lowed 3,1,153002,1,0,153002,Lingote de Prata Azul,3,0
1017,Colecionáveis da Floresta de Lowed 3,1,153002,1,0,153502,Lingote de Prata Azul,3,0
1017,Colecionáveis da Floresta de Lowed 3,2,154002,1,0,154002,Antiguidade da Terra - Cálice,4,0
