CollectionIndex,Hide_WorldIndex,CollectionType,CollectionSeparation,Sort,PeriodCollection,Collection1_ItemGroup,Collection1_EnchantLevel,Collection1_Value,Collection2_ItemGroup,Collection2_EnchantLevel,Collection2_Value,Collection3_ItemGroup,Collection3_EnchantLevel,Collection3_Value,Collection4_ItemGroup,Collection4_EnchantLevel,Collection4_Value,Collection5_ItemGroup,Collection5_EnchantLevel,Collection5_Value,Collection6_ItemGroup,Collection6_EnchantLevel,Collection6_Value,Collection7_ItemGroup,Collection7_EnchantLevel,Collection7_Value,Collection8_ItemGroup,Collection8_EnchantLevel,Collection8_Value,Collection9_ItemGroup,Collection9_EnchantLevel,Collection9_Value,Collection10_ItemGroup,Collection10_EnchantLevel,Collection10_Value,RewardStat1_Type,RewardStat1_Value,RewardStat2_Type,RewardStat2_Value,NameStringIndex,MemoryChipType,MemoryChipItemIcon,MemoryChipIcon,MemoryChipImage,RewardStat3_Type,RewardStat3_Value,ContentsString,Collectrion1_EnchantLevel,Collectrion2_EnchantLevel,Collectrion3_EnchantLevel,Collectrion4_EnchantLevel,Collectrion5_EnchantLevel,Collectrion6_EnchantLevel,Collectrion7_EnchantLevel,Collectrion8_EnchantLevel,Collectrion9_EnchantLevel,Collectrion10_EnchantLevel,NamePTBR,RewardStat1_Enum,RewardStat1_NamePTBR,RewardStat2_Enum,RewardStat2_NamePTBR,RewardStat3_Enum,RewardStat3_NamePTBR
1001,[],1,4,600,False,151000,0,1,152000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,ui_itemCollection_Name_1001,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Arsenal 1,STAT_HITPOW,Precisão,,,,
1004,[],1,4,600,False,152000,0,1,153000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,ui_itemCollection_Name_1004,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Arsenal 2,STAT_DEFPOW,DEF,,,,
1005,[],1,4,600,False,153000,0,1,154000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,ui_itemCollection_Name_1005,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Arsenal 3,STAT_ATKPOW,ATQ,,,,
1007,[],1,4,600,False,151001,0,1,152001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,3,0,0,ui_itemCollection_Name_1007,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Mercenário Bellato 1,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP,,,,
1008,[],1,4,600,False,152001,0,1,153001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,ui_itemCollection_Name_1008,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Mercenário Bellato 2,STAT_DEFPOW,DEF,,,,
1009,[],1,4,600,False,153001,0,1,154001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,ui_itemCollection_Name_1009,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Mercenário Bellato 3,STAT_DODGEPOW,Evasão,,,,
1015,[],1,4,600,False,151002,0,1,152002,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,60,0,0,ui_itemCollection_Name_1015,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis da Floresta de Lowed 1,STAT_MAXHP,HP Máx.,,,,
1016,[],1,4,600,False,152002,0,1,153002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,ui_itemCollection_Name_1016,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis da Floresta de Lowed 2,STAT_DODGEPOW,Evasão,,,,
1017,[],1,4,600,False,153002,0,1,154002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,3,0,0,ui_itemCollection_Name_1017,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis da Floresta de Lowed 3,STAT_F_ADDDMG,Dano Fixo de Força,,,,
1021,[],1,4,600,False,151003,0,1,152003,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,50,0,0,ui_itemCollection_Name_1021,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Itens da Era Pioneira de Bellato 1,STAT_EXPDROPINCRATE,Ganho de EXP,,,,
1022,[],1,4,600,False,152003,0,1,153003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,3,0,0,ui_itemCollection_Name_1022,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Itens da Era Pioneira de Bellato 2,STAT_FPUSEDEC,Redução de Consumo de FP,,,,
1023,[],1,4,600,False,153003,0,1,154003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,ui_itemCollection_Name_1023,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Itens da Era Pioneira de Bellato 3,STAT_HITPOW,Precisão,,,,
