NPCIndex,NPCNamePTBR,NPCLevel,RewardIndex,SubGroupIndex,EXPBaseMin,ObservedTarget,DifferenceFromObserved
305107,Kphala Grumble,79,1000535,1000020079,16069,16303,-234
305108,Kphala Vanguarda,79,1000536,1000020079,16069,16303,-234
305109,Kphala Striker,79,1000537,1000020079,16069,16303,-234
305110,Kphala Arghol,79,1000538,1000020079,16069,16303,-234
305197,Junker Desenfreado,79,1000539,1000020079,16069,16303,-234
305198,Bork de Assalto Desenfreado,79,1000540,1000020079,16069,16303,-234
305199,Brutal Selvagem,79,1000541,1000020079,16069,16303,-234
313603,Super Soldado Inewt,79,1000548,1000020079,16069,16303,-234
313697,Estilhaçador Selvagem,79,1000549,1000020079,16069,16303,-234
313604,Combatente Mecânico Inewt,79,1000550,1000020079,16069,16303,-234
313608,Inewt Guerreiro Soma,79,1000551,1000020079,16069,16303,-234
313610,Inewt Ranger Soma,79,1000552,1000020079,16069,16303,-234
313609,Inewt Mago Soma,79,1000553,1000020079,16069,16303,-234
340531,Guerreiro Mech,75,1200584,1000020079,16069,16303,-234
340532,Atirador Mecânico,75,1200585,1000020079,16069,16303,-234
340533,Espadachim Mecânico,75,1200586,1000020079,16069,16303,-234
340534,Ranger Mecânico,75,1200587,1000020079,16069,16303,-234
340535,Grande Sentinela Magnum,75,1200588,1000020079,16069,16303,-234
340536,Grande Guerreiro Magnum,75,1200589,1000020079,16069,16303,-234
340537,Guerreiro Crawler,75,1200590,1000020079,16069,16303,-234
340538,Sentinela Crawler,75,1200591,1000020079,16069,16303,-234
340539,Recon,75,1200592,1000020079,16069,16303,-234
340540,Striker,75,1200593,1000020079,16069,16303,-234
340541,Vanguarda,75,1200594,1000020079,16069,16303,-234
340543,Fantasma Enfurecido,75,1200595,1000020079,16069,16303,-234
