ItemIndex,NameStringIndex,DescStringIndex,BindingType,ItemGroup,ExchangeItem,WGExchangeItem,TradeAble,Hide_WorldIndex,Grade,Quality,Tier,ItemCategory,ItemSubCategory,ItemType,EquipPartType,Equip_Biosuit,TalicColor,ItemSetIndex,StackCount,UseInventorySlotLimit,UseLv,UseLvLimit,CanUseOnUG,Sell_MoneyItemIndex,Sell_MoneyValue,Trade_MoneyValue,TeleportIndex,DrawIndex,ItemEnchantStatusIndex,AddStatGroupIndex,Status_1_Type,Status_1_Base,Status_2_Type,Status_2_Base,Status_3_Type,Status_3_Base,SubStatus_1_Type,SubStatus_1_Base,SubStatus_2_Type,SubStatus_2_Base,SubStatus_3_Type,SubStatus_3_Base,SubStatus_4_Type,SubStatus_4_Base,SubStatus_5_Type,SubStatus_5_Base,SubStatus_6_Type,SubStatus_6_Base,SubStatus_7_Type,SubStatus_7_Base,PrimeStatus_1_Type,PrimeStatus_1_Base,PrimeStatus_2_Type,PrimeStatus_2_Base,PrimeStatus_3_Type,PrimeStatus_3_Base,PrimeStatus_4_Type,PrimeStatus_4_Base,PrimeStatus_5_Type,PrimeStatus_5_Base,Option_Count_Max,ItemOptionGroupIndex1,ItemOptionGroupIndex2,ItemOptionGroupIndex3,ItemReward,Box_RewardIndex,Remodel_Index,Remodel_ItemIndex,AlchemyIndex,Collection_ReplaceIndex,CoolTime,CoolTimeGroupIndex,GetSkillGroupIndex,ActiveSkillIndex,IconText,IconTextAlign,Icon,Icon_s,WeaponModelIndex,GetInfoButton,SoleGrade,PeriodItem,PeriodEquipItem,SUBSCRIPTION_EFFECT_DAY,NamePTBR,DescriptionPTBR
1,Item_Name_1,Item_Desc_1,True,1,False,False,False,[],1,0,0,0,0,1,0,0,0,0,0,0,0,0,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume/icon_credit.icon_credit,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume_s/icon_credit_s.icon_credit_s,0,False,False,False,False,0,Crédito,Moeda comum de Novus
2,Item_Name_2,Item_Desc_2,True,0,False,False,False,[],1,0,0,0,0,2,0,0,0,0,0,0,0,0,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume/icon_Diamond.icon_Diamond,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume_s/icon_Diamond_s.icon_Diamond_s,0,False,False,False,False,0,Diamante,"Moeda especial.
Pode ser usada para comprar vários itens na Loja Especial."
3,Item_Name_3,Item_Desc_3,True,3,False,False,False,[],1,0,0,0,0,3,0,0,0,0,0,0,0,0,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume/icon_Diamond.icon_Diamond,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume_s/icon_Diamond_s.icon_Diamond_s,0,True,False,False,False,0,Diamante,"Moeda especial.
Pode ser usada para comprar vários itens na Loja Especial."
4,Item_Name_4,Item_Desc_4,True,0,False,False,False,[],1,0,0,0,0,4,0,0,0,0,0,0,0,0,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume/icon_BlackDiamond.icon_BlackDiamond,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume_s/icon_BlackDiamond_s.icon_BlackDiamond_s,0,False,False,False,False,0,Diamante Negro,"Moeda especial usada apenas no Teste da Companhia.
Pode ser usada para comprar vários itens na Loja de Dinheiro."
5,Item_Name_5,Item_Desc_5,True,0,False,False,False,[],1,0,0,0,0,5,0,0,0,0,0,0,0,0,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/icon_Item_Box/icon_box_Universal.icon_box_Universal,,0,False,False,False,False,0,Slots de Inventário,Aumenta seus [slots de inventário].
6,Item_Name_6,Item_Desc_6,True,0,False,False,False,[],1,0,0,0,0,6,0,0,0,0,0,0,0,0,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/icon_Item_Box/icon_box_Universal.icon_box_Universal,,0,False,False,False,False,0,Pontos de Atributo,Aumenta seus [pontos de atributo].
7,Item_Name_7,Item_Desc_7,True,0,False,False,False,[],1,0,0,0,0,7,0,0,0,0,0,0,0,0,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/icon_Item_Box/icon_box_Universal.icon_box_Universal,,0,False,False,False,False,0,Slot de Hangar,Aumenta seus [slots de Hangar].
8,Item_Name_8,Item_Desc_8,True,8,False,False,False,[],1,0,0,0,0,8,0,0,0,0,0,0,0,0,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume/icon_HolyGas.icon_HolyGas,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume_s/icon_HolyGas_s.icon_HolyGas_s,0,True,False,False,False,0,Gás Sagrado,Combustível especial criado refinando Pedras Sagradas.Usado para alimentar Armas Sagradas.
9,Item_Name_9,Item_Desc_9,True,0,False,False,False,[],1,0,0,0,0,9,0,0,0,0,0,0,0,0,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/Icon_Item_Consume/icon_UGToken.icon_UGToken,,0,False,False,False,False,0,Pontos de Mod de Arma Sagrada,Pontos de Mod de Arma Sagrada
10,Item_Name_10,Item_Desc_10,True,0,False,False,False,[],1,0,0,0,0,10,0,0,0,0,0,0,0,0,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,/Game/Streaming/ArtAsset/UI/UIResource/UITexture/Common_Icon/icon_Item_Box/icon_box_Universal.icon_box_Universal,,0,False,False,False,False,0,EXP da Guilda,Aumenta o [EXP da Guilda].
