NPCIndex,NPCNamePTBR,NPCLevel,RewardIndex,SubGroupIndex,EXPBaseMin,ObservedTarget,DifferenceFromObserved
305901,Guarda de Fronteira Beltran,10,1000000,1000020010,10,16303,-16293
305902,Combatente Mecânico Beltran,10,1000001,1000020010,10,16303,-16293
305903,Beltran Fora da Lei Incendiário,10,1000002,1000020010,10,16303,-16293
305904,Lutador de Facas Fora da Lei Beltran,11,1000003,1000020011,11,16303,-16292
305914,Lutador de Facas Fora da Lei Beltran,11,1000004,1000020011,11,16303,-16292
305905,Beltran Bork Laser,11,1000005,1000020011,11,16303,-16292
305906,Sentinela Soma Beltran,11,1000006,1000020011,11,16303,-16292
305907,Beltran Soma Tropas de Choque,12,1000007,1000020012,12,16303,-16291
305908,Drone de Patrulha Beltran,12,1000008,1000020012,12,16303,-16291
305909,Sentinela Beltran,12,1000009,1000020012,12,16303,-16291
305910,Super Soldado Beltran,13,1000010,1000020013,14,16303,-16289
305912,Beltran Passer Alpha,13,1000011,1000020013,14,16303,-16289
305913,Mercenário Beltran Crawler,13,1000012,1000020013,14,16303,-16289
305911,Cavalaria Pesada Beltran,13,1000013,1000020013,14,16303,-16289
308801,Lowed Cirurgião Lydian,14,1000014,1000020014,16,16303,-16287
308802,Lowed Médico Lydian,14,1000015,1000020014,16,16303,-16287
308803,Lowed Pathfinder,15,1000016,1000020015,18,16303,-16285
308804,Lowed Sentinela,15,1000017,1000020015,18,16303,-16285
308805,Lowed Super Soldado,16,1000018,1000020016,20,16303,-16283
308806,Lowed Mula Armada,16,1000019,1000020016,20,16303,-16283
305801,Flem Lowed,17,1000020,1000020017,23,16303,-16280
305802,Ash Lowed,17,1000021,1000020017,23,16303,-16280
305803,Symbi Lowed,18,1000022,1000020018,26,16303,-16277
305804,Lowed Rastreador Ferinky,18,1000023,1000020018,26,16303,-16277
305805,Lowed Ferinky Sniper,19,1000024,1000020019,29,16303,-16274
305806,Lowed Ferinky Lutador,19,1000025,1000020019,29,16303,-16274
306201,Rastreador de Clops da Fronteira,20,1000026,1000020020,33,16303,-16270
306202,Destruidor de Clops da Fronteira,20,1000027,1000020020,33,16303,-16270
306203,Frontal Clops Sniper,20,1000028,1000020020,33,16303,-16270
306204,Lutador de Facas Fora da Lei da Fronteira,21,1000029,1000020021,37,16303,-16266
306205,Incendiário Fora-da-Lei da Fronteira,21,1000030,1000020021,37,16303,-16266
306206,Choqueiro Fora-da-lei da Fronteira,21,1000031,1000020021,37,16303,-16266
308105,Rosetta Saqueador Predo,23,1000032,1000020023,45,16303,-16258
308106,Rosetta Atirador Predo,23,1000033,1000020023,45,16303,-16258
308107,Saqueador Equesian Rosetta,23,1000034,1000020023,45,16303,-16258
308108,Rosetta Atirador Equesian,24,1000035,1000020024,50,16303,-16253
308109,Rosetta Guerreiro Crawler,24,1000036,1000020024,50,16303,-16253
308110,Sentinela Rosetta Crawler,24,1000037,1000020024,50,16303,-16253
308103,Criador de Rosetta Mahr,22,1000038,1000020022,41,16303,-16262
308104,Anfitrião Rosetta Mahr,23,1000039,1000020023,45,16303,-16258
308101,Rosetta Silex,22,1000040,1000020022,41,16303,-16262
308102,Rosetta Catus,22,1000041,1000020022,41,16303,-16262
308214,Veris Meevlan,25,1000042,1000020025,55,16303,-16248
308208,Lutador de Facas Fora da Lei Veris,25,1000043,1000020025,55,16303,-16248
308211,Veris Atirador Fora da Lei,25,1000044,1000020025,55,16303,-16248
308212,Veris Fora da Lei Bruiser,25,1000045,1000020025,55,16303,-16248
308215,Veris Grumble,26,1000046,1000020026,60,16303,-16243
308216,Veris Grumble Oul,26,1000047,1000020026,60,16303,-16243
308217,Percevejo Veris,26,1000048,1000020026,60,16303,-16243
308201,Veris Gafftail,26,1000049,1000020026,60,16303,-16243
308304,Flem das Colinas,27,1000050,1000020027,65,16303,-16238
308301,Estilhaçador das Colinas,27,1000051,1000020027,65,16303,-16238
308302,Kaigar das Colinas,27,1000052,1000020027,65,16303,-16238
308303,Temizl das Colinas,27,1000053,1000020027,65,16303,-16238
308310,Mahr das Colinas,27,1000054,1000020027,65,16303,-16238
308307,Lunker das Colinas,27,1000055,1000020027,65,16303,-16238
308305,Gladiador Predo das Colinas,28,1000056,1000020028,71,16303,-16232
308306,Infantaria Predo das Colinas,28,1000057,1000020028,71,16303,-16232
308311,Saqueador Predo das Colinas,28,1000058,1000020028,71,16303,-16232
308312,Atirador Predo das Colinas,28,1000059,1000020028,71,16303,-16232
308308,Guerreiro Crawler das Colinas,28,1000060,1000020028,71,16303,-16232
308309,Sentinela Foothills Crawler,28,1000061,1000020028,71,16303,-16232
307601,Lutador de Faca Fora da Lei Anakade,29,1000062,1000020029,77,16303,-16226
307602,Anakade Atirador Fora da Lei,29,1000063,1000020029,77,16303,-16226
307603,Anakade Fora da Lei Bruiser,29,1000064,1000020029,77,16303,-16226
307604,Bork Laser Anakade,29,1000065,1000020029,77,16303,-16226
307605,Bork de Assalto Anakade,29,1000066,1000020029,77,16303,-16226
307609,Anakade Ferinky Lutador,30,1000067,1000020030,83,16303,-16220
307610,Rastreador Ferinky de Anakade,30,1000068,1000020030,83,16303,-16220
307607,Combatente Mecânico Anakade,30,1000069,1000020030,83,16303,-16220
307608,Sentinela Anakade,30,1000070,1000020030,83,16303,-16220
307611,Cavalaria Pesada Anakade,30,1000071,1000020030,83,16303,-16220
308501,Drone Peep Somora,31,1000072,1000020031,89,16303,-16214
308504,Drone Farejador Somora,31,1000073,1000020031,89,16303,-16214
308505,Espadachim Mecânico Somora,31,1000074,1000020031,89,16303,-16214
308502,Somora Passer Alpha,31,1000075,1000020031,89,16303,-16214
308503,Somora Passer Gamma,31,1000076,1000020031,89,16303,-16214
308506,Lunker Somora,31,1000077,1000020031,89,16303,-16214
308507,Chuti Somora,31,1000078,1000020031,89,16303,-16214
308508,Scud Pesado Somora,31,1000079,1000020031,89,16303,-16214
308509,Ravenous Somora,31,1000080,1000020031,89,16303,-16214
305601,Mayazar Meevlan,32,1000081,1000020032,96,16303,-16207
305607,Mayazar Symbi,32,1000082,1000020032,96,16303,-16207
305605,Mayazar Anabola,32,1000083,1000020032,96,16303,-16207
305606,Atirador da Gangue Mayazar,32,1000084,1000020032,96,16303,-16207
305608,Mayazar Kaigar,32,1000085,1000020032,96,16303,-16207
305602,Brutamontes da Gangue Mayazar,32,1000086,1000020032,96,16303,-16207
305610,Lutador com Faca da Gangue Mayazar,32,1000087,1000020032,96,16303,-16207
305611,Gaff de Mayazar,32,1000088,1000020032,96,16303,-16207
305612,Abraço de Mayazar,32,1000089,1000020032,96,16303,-16207
305603,Assassino Soma Mayazar,32,1000090,1000020032,96,16303,-16207
305609,Mayazar Soma Shocktrooper,32,1000091,1000020032,96,16303,-16207
305604,Mayazar Soma Shockmancer,32,1000092,1000020032,96,16303,-16207
305701,Catador de Sucata do Campo de Treinamento,33,1000093,1000020033,103,16303,-16200
305702,Junker do Campo de Treinamento,33,1000094,1000020033,103,16303,-16200
305703,G-Box do Campo de Treinamento,33,1000095,1000020033,103,16303,-16200
305704,Guerreiro Manequim do Campo de Treinamento,33,1000096,1000020033,103,16303,-16200
305705,Atirador Manequim do Campo de Treinamento,33,1000097,1000020033,103,16303,-16200
305706,Mula Armada do Campo de Treinamento,34,1000098,1000020034,110,16303,-16193
305707,Campo de Treinamento Bork Laser,34,1000099,1000020034,110,16303,-16193
305708,Campo de Treinamento Bork de Assalto,34,1000100,1000020034,110,16303,-16193
305709,Campo de Treinamento Combate Bork,34,1000101,1000020034,110,16303,-16193
305710,Drone Farejador do Campo de Treinamento,34,1000102,1000020034,110,16303,-16193
308409,Catus Vulcan,35,1000103,1000020035,117,16303,-16186
308410,Vulcan Gafftail,35,1000104,1000020035,117,16303,-16186
