RewardIndex,BoxType,SubGroupIndex
1000000,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020010
1000000,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010010
1000000,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000000,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000000,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010590001
1000001,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020010
1000001,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010010
1000001,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000001,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000001,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010600001
1000002,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020010
1000002,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010010
1000002,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000002,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000002,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010610001
1000003,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020011
1000003,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010011
1000003,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000003,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000003,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010620001
1000004,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020011
1000004,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010011
1000004,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000004,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000004,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010630001
1000005,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020011
1000005,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010011
1000005,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000005,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000005,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010640001
1000006,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020011
1000006,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010011
1000006,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000006,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000006,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010920001
1000007,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020012
1000007,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010012
1000007,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000007,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000007,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010970001
1000008,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020012
1000008,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010012
1000008,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000008,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000008,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010110001
1000009,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020012
1000009,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010012
1000009,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000009,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000009,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010120001
1000010,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020013
1000010,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010013
1000010,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000010,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000010,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010130001
1000011,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020013
1000011,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010013
1000011,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000011,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000011,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010140001
1000012,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020013
1000012,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010013
1000012,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000012,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000012,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010150001
1000013,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020013
1000013,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010013
1000013,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000013,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000013,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010160001
1000014,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020014
1000014,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010014
1000014,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000014,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
1000014,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010170001
1000015,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000020014
1000015,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,1000010014
1000015,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4000040000
1000015,eITEM_REWARD_BOX_TYPE::ITEM_REWARD_BOX_TYPE_NONE,4010470000
