SubGroupIndex,RewardItemIndex,MinValue,EnchantLevel,BiosuitType
1000010001,1,3,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010002,1,4,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010003,1,5,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010004,1,6,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010005,1,7,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010006,1,9,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010007,1,11,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010008,1,13,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010009,1,16,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010010,1,19,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010011,1,22,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010012,1,26,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010013,1,30,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010014,1,35,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010015,1,40,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010016,1,45,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010017,1,50,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010018,1,56,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010019,1,62,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010020,1,68,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010021,1,73,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010022,1,78,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010023,1,83,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010024,1,87,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010025,1,90,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010026,1,94,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010027,1,98,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010028,1,102,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010029,1,106,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010030,1,110,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010031,1,114,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010032,1,118,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010033,1,122,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010034,1,126,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010035,1,130,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010036,1,134,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010037,1,138,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010038,1,142,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010039,1,146,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010040,1,150,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010041,1,154,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010042,1,158,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010043,1,162,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010044,1,166,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010045,1,170,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010046,1,174,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010047,1,178,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010048,1,182,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010049,1,186,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010050,1,190,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010051,1,194,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010052,1,198,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010053,1,202,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010054,1,206,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010055,1,210,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010056,1,214,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010057,1,218,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010058,1,222,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010059,1,226,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010060,1,230,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010061,1,234,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010062,1,238,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010063,1,254,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010064,1,270,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010065,1,286,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010066,1,302,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010067,1,318,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010068,1,334,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010069,1,354,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010070,1,374,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010071,1,394,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010072,1,414,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010073,1,434,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010074,1,454,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010075,1,474,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010076,1,494,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010077,1,514,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010078,1,534,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010079,1,554,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010080,1,574,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010081,1,580,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010082,1,586,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010083,1,592,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010084,1,598,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010085,1,604,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010086,1,611,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010087,1,618,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010088,1,625,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010089,1,632,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010090,1,639,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010091,1,646,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010092,1,653,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010093,1,661,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010094,1,669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010095,1,677,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010096,1,685,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010097,1,693,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010098,1,701,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010099,1,709,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010100,1,717,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010101,1,725,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010102,1,733,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010103,1,741,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010104,1,749,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010105,1,758,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010106,1,767,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010107,1,776,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010108,1,785,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010109,1,794,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010110,1,803,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010111,1,812,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010112,1,821,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010113,1,830,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010114,1,839,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010115,1,848,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010116,1,857,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010117,1,866,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010118,1,875,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010119,1,884,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010120,1,893,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010121,1,903,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010122,1,913,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010123,1,923,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010124,1,933,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010125,1,943,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010126,1,953,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010127,1,963,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010128,1,973,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010129,1,983,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010130,1,993,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010131,1,1003,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010132,1,1013,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010133,1,1023,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010134,1,1033,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010135,1,1043,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010136,1,1053,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010137,1,1063,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010138,1,1073,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010139,1,1083,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000010140,1,1093,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010001,1,137000,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010002,1,149800,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010003,1,30550,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010004,1,31950,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010005,1,33450,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010006,1,35050,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010007,1,366500,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010008,1,1489,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010009,1,1557,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010010,1,1836,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010011,1,2103,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000010012,1,210300,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020001,900,1,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020002,900,2,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020003,900,3,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020004,900,4,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020005,900,5,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020006,900,6,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020007,900,7,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020008,900,8,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020009,900,9,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020010,900,10,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020011,900,11,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020012,900,12,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020013,900,14,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020014,900,16,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020015,900,18,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020016,900,20,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020017,900,23,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020018,900,26,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020019,900,29,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020020,900,33,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020021,900,37,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020022,900,41,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
