StatType,StatEnum,StatNameKey,StatNamePTBR
1,STAT_STR,Enum_eSTATUS_STR,FOR
2,STAT_DEX,Enum_eSTATUS_DEX,DES
3,STAT_VIT,Enum_eSTATUS_VIT,VIT
4,STAT_INT,Enum_eSTATUS_INT,INT
5,STAT_WIS,Enum_eSTATUS_WIS,AGI
6,STAT_AGI,Enum_eSTATUS_AGI,Agilidade
7,STAT_P_ATKPOW,Enum_eSTATUS_P_ATKPOW,ATQ Físico
8,STAT_P_DEFPOW,Enum_eSTATUS_P_DEFPOW,DEF Física
9,STAT_P_HITPOW,Enum_eSTATUS_P_HITPOW,Precisão Física
10,STAT_P_CRIHITPOW,Enum_eSTATUS_P_CRIHITPOW,Taxa Crít. FÍS
11,STAT_P_CRIDMG,Enum_eSTATUS_P_CRIDMG,Dano Crít. FÍS
12,STAT_P_GIVECRIDMGINCRATE,Enum_eSTATUS_P_GIVECRIDMGINCRATE,Aum. de Dano Crít. FÍS
13,STAT_P_GIVECRIDMGDECRATE,Enum_eSTATUS_P_GIVECRIDMGDECRATE,Red. de Dano Crít. FÍS Causado
14,STAT_P_ACCEPTCRIDMGINCRATE,Enum_eSTATUS_P_ACCEPTCRIDMGINCRATE,Aum. de Dano Crít. FÍS Recebido
15,STAT_P_ACCEPTCRIDMGDECRATE,Enum_eSTATUS_P_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FÍS
16,STAT_P_ATKPOWRATE,Enum_eSTATUS_P_ATKPOWRATE,Aumento de ATQ Físico
17,STAT_P_DEFPOWRATE,Enum_eSTATUS_P_DEFPOWRATE,Aumento de DEF Física
18,STAT_P_HITPOWRATE,Enum_eSTATUS_P_HITPOWRATE,Aumento de Precisão Física
19,STAT_P_CRIHITPOWRATE,Enum_eSTATUS_P_CRIHITPOWRATE,Aum. de Chance Crít. FÍS
20,STAT_F_ATKPOW,Enum_eSTATUS_F_ATKPOW,ATQ de Força
21,STAT_F_DEFPOW,Enum_eSTATUS_F_DEFPOW,DEF de Força
22,STAT_F_HITPOW,Enum_eSTATUS_F_HITPOW,Precisão de Força
23,STAT_F_CRIHITPOW,Enum_eSTATUS_F_CRIHITPOW,Taxa Crít. FOR
24,STAT_F_CRIDMG,Enum_eSTATUS_F_CRIDMG,Dano Crít. FOR
25,STAT_F_GIVECRIDMGINCRATE,Enum_eSTATUS_F_GIVECRIDMGINCRATE,Aum. de Dano Crít. FOR
26,STAT_F_GIVECRIDMGDECRATE,Enum_eSTATUS_F_GIVECRIDMGDECRATE,Red. de Dano Crít. FOR Causado
27,STAT_F_ACCEPTCRIDMGINCRATE,Enum_eSTATUS_F_ACCEPTCRIDMGINCRATE,Aum. de Dano Crít. FOR Recebido
28,STAT_F_ACCEPTCRIDMGDECRATE,Enum_eSTATUS_F_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FOR
29,STAT_F_ATKPOWRATE,Enum_eSTATUS_F_ATKPOWRATE,Aumento de ATQ de Força
30,STAT_F_DEFPOWRATE,Enum_eSTATUS_F_DEFPOWRATE,Aumento de DEF de Força
31,STAT_F_HITPOWRATE,Enum_eSTATUS_F_HITPOWRATE,Aumento de Precisão de Força
32,STAT_F_CRIHITPOWRATE,Enum_eSTATUS_F_CRIHITPOWRATE,Aum. de Taxa Crít. FOR
33,STAT_WEAPONATKPOW,Enum_eSTATUS_WEAPONATKPOW,ATQ da Arma
34,STAT_ARMORDEFPOW,Enum_eSTATUS_ARMORDEFPOW,DEF da Armadura
35,STAT_ATKPOW,Enum_eSTATUS_ATKPOW,ATQ
36,STAT_DEFPOW,Enum_eSTATUS_DEFPOW,DEF
37,STAT_MAXHP,Enum_eSTATUS_MAXHP,HP Máx.
38,STAT_HITPOW,Enum_eSTATUS_HITPOW,Precisão
39,STAT_CRIDMG,Enum_eSTATUS_CRIDMG,Dano Crítico
40,STAT_DODGEPOW,Enum_eSTATUS_DODGEPOW,Evasão
41,STAT_CRIHITPOW,Enum_eSTATUS_CRIHITPOW,Chance de Crítico
42,STAT_CRIRESPOW,Enum_eSTATUS_CRIRESPOW,Res. a Crítico
43,STAT_ATKPOWRATE,Enum_eSTATUS_ATKPOWRATE,Aumento de ATQ
44,STAT_DEFPOWRATE,Enum_eSTATUS_DEFPOWRATE,Aumento de DEF
45,STAT_MAXHPRATE,Enum_eSTATUS_MAXHPRATE,Aumento de HP Máx.
46,STAT_HITPOWRATE,Enum_eSTATUS_HITPOWRATE,Aumento de Precisão
47,STAT_CRIHITPOWRATE,Enum_eSTATUS_CRIHITPOWRATE,Aumento da Chance de Crítico
48,STAT_DODGEPOWRATE,Enum_eSTATUS_DODGEPOWRATE,Aumento de Evasão
49,STAT_CRIRESPOWRATE,Enum_eSTATUS_CRIRESPOWRATE,Aumento de Res. Crít.
50,STAT_SKILLDMGINCRATE_SINGLE,Enum_eSTATUS_SKILLDMGINCRATE_SINGLE,Aum. de Dano Alvo Úni.
51,STAT_SKILLDMGDECRATE_SINGLE,Enum_eSTATUS_SKILLDMGDECRATE_SINGLE,Red. de Dano Alvo Úni.
52,STAT_SKILLDMGINCRATE_MULTI,Enum_eSTATUS_SKILLDMGINCRATE_MULTI,Aum. de Dano em Área
53,STAT_SKILLDMGDECRATE_MULTI,Enum_eSTATUS_SKILLDMGDECRATE_MULTI,Red. de Dano Alvo em Área
54,STAT_SKILLREUSEDECRATE_SINGLE,Enum_eSTATUS_SKILLREUSEDECRATE_SINGLE,Red. de TR ALVO ÚNI.
55,STAT_SKILLREUSEINCRATE_SINGLE,Enum_eSTATUS_SKILLREUSEINCRATE_SINGLE,Aumento do Tempo de Recarga de Alvo Único
56,STAT_SKILLREUSEDECRATE_MULTI,Enum_eSTATUS_SKILLREUSEDECRATE_MULTI,Red. de Tempo Rec. em Área
57,STAT_SKILLREUSEINCRATE_MULTI,Enum_eSTATUS_SKILLREUSEINCRATE_MULTI,Aumento do Tempo de Recarga de Hab. em Área
58,STAT_SKILLREUSEDECRATE_ALL,Enum_eSTATUS_SKILLREUSEDECRATE_ALL,Red. de Tempo Rec. de Hab.
59,STAT_SKILLREUSEINCRATE_ALL,Enum_eSTATUS_SKILLREUSEINCRATE_ALL,Aumento do Tempo de Recarga da Hab.
60,STAT_PVEDMGDECRATE,Enum_eSTATUS_PVEDMGDECRATE,Red. de Dano PvE
61,STAT_PVEDMGINCRATE,Enum_eSTATUS_PVEDMGINCRATE,Aum. de Dano PVE
62,STAT_PVPDMGDECRATE,Enum_eSTATUS_PVPDMGDECRATE,Red. de Dano PvP
63,STAT_PVPDMGINCRATE,Enum_eSTATUS_PVPDMGINCRATE,Aum. de Dano PvP
64,STAT_DMGDECRATE,Enum_eSTATUS_DMGDECRATE,Red. de Dano
65,STAT_DMGINCRATE,Enum_eSTATUS_DMGINCRATE,Aum. de Dano
66,STAT_CONHITRATE,Enum_eSTATUS_CONHITRATE,Taxa de Acerto de Debuff
67,STAT_CONRESRATE,Enum_eSTATUS_CONRESRATE,Resistência a Debuff
68,STAT_REFDMGRATE,Enum_eSTATUS_REFDMGRATE,Aum. Dano Reflet.
69,STAT_REFRATE,Enum_eSTATUS_REFRATE,Dano Reflet.
70,STAT_BLOCKRATE,Enum_eSTATUS_BLOCKRATE,Bloqueio de Escudo
71,STAT_BLOCK_DMGDECRATE,Enum_eSTATUS_BLOCK_DMGDECRATE,Taxa de Redução de Dano do Bloqueio de Escudo
72,STAT_DODGEDMGDECRATE,Enum_eSTATUS_DODGEDMGDECRATE,Red. de Dano de Evasão
73,STAT_PARRYRATE,Enum_eSTATUS_PARRYRATE,Bloqueio de Arma
74,STAT_PARRYDMGDECRATE,Enum_eSTATUS_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
75,STAT_IMPULSIVERES,Enum_eSTATUS_IMPULSIVERES,DEF de Impacto
76,STAT_IMPULSIVEPOW,Enum_eSTATUS_IMPULSIVEPOW,ATQ de Impacto
77,STAT_CUTTINGRES,Enum_eSTATUS_CUTTINGRES,DEF de Corte
78,STAT_CUTTINGPOW,Enum_eSTATUS_CUTTINGPOW,ATQ de Corte
79,STAT_PIERCINGRES,Enum_eSTATUS_PIERCINGRES,DEF Penetr.
80,STAT_PIERCINGPOW,Enum_eSTATUS_PIERCINGPOW,ATQ de Penetração
81,STAT_MOVESPEEDRATE,Enum_eSTATUS_MOVESPEEDRATE,Velocidade de Movimento
82,STAT_ATTACKSPEEDRATE,Enum_eSTATUS_ATTACKSPEEDRATE,Velocidade de Ataque
83,STAT_ACTIONSPEEDRATE,Enum_eSTATUS_ACTIONSPEEDRATE,Velocidade de Conjuração
84,STAT_BATTLE_HPRECOVERYRATE,Enum_eSTATUS_BATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP em Combate
85,STAT_NONBATTLE_HPRECOVERYRATE,Enum_eSTATUS_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
86,STAT_HPPOTIONREC,Enum_eSTATUS_HPPOTIONREC,Rec. Inj. HP
87,STAT_HPPOTIONRECRATE,Enum_eSTATUS_HPPOTIONRECRATE,Aum. Rec. Inj.
88,STAT_HPRECOVERY,Enum_eSTATUS_HPRECOVERY,Regeneração de HP
89,STAT_CREDITDROPINCRATE,Enum_eSTATUS_CREDITDROPINCRATE,Ganho Créditos
90,STAT_EXPDROPINCRATE,Enum_eSTATUS_EXPDROPINCRATE,Ganho de EXP
91,STAT_ITEMDROPRATEINCRATE,Enum_eSTATUS_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
92,STAT_GEARDURATIONTIME,Enum_eSTATUS_GEARDURATIONTIME,Aumento da Duração de Arma Sagrada
93,STAT_GIVECRIDMGINCRATE,Enum_eSTATUS_GIVECRIDMGINCRATE,Dano Crít.
94,STAT_ACCEPTCRIDMGDECRATE,Enum_eSTATUS_ACCEPTCRIDMGDECRATE,Red. de Dano Crít.
95,STAT_MAXFP,Enum_eSTATUS_MAXFP,FP Máx.
96,STAT_MAXFPRATE,Enum_eSTATUS_MAXFPRATE,Aumento de FP Máx.
97,STAT_FPRECOVERY,Enum_eSTATUS_FPRECOVERY,Regen. de FP
98,STAT_HANGARREUSEDECRATE,Enum_eSTATUS_HANGARREUSEDECRATE,Redução de Recarga do Hangar
99,STAT_WEAPONATKRES,Enum_eSTATUS_WEAPONATKRES,Res ATQ de Arma
100,STAT_NORMAL_DOUBLE,Enum_eSTATUS_NORMAL_DOUBLE,Taxa Acer. ATQ Nor. MÁX
101,STAT_SKILL_DOUBLE,Enum_eSTATUS_SKILL_DOUBLE,Taxa Acer. ATQ de Hab. MÁX
102,STAT_DOUBLE,Enum_eSTATUS_DOUBLE,Taxa Acer. ATQ Máx.
103,STAT_DOUBLERES,Enum_eSTATUS_DOUBLERES,Res ATQ Máx.
104,STAT_P_ADDDMG,Enum_eSTATUS_P_ADDDMG,Dano Físico Fixo
105,STAT_F_ADDDMG,Enum_eSTATUS_F_ADDDMG,Dano Fixo de Força
106,STAT_ADDDMG,Enum_eSTATUS_ADDDMG,Dano Fixo
107,STAT_P_SUBDMG,Enum_eSTATUS_P_SUBDMG,Resistência a Dano Físico Fixo
108,STAT_F_SUBDMG,Enum_eSTATUS_F_SUBDMG,Res. Dano Força Fixo
