class,opcode_hex,opcode_dec,direction
FA2C_ans_account_withdraw_Message,0x0113,275,FA2C
FA2C_ans_all_character_infos_Message,0x010d,269,FA2C
FA2C_ans_auth_hexa_id_Message,0x010f,271,FA2C
FA2C_ans_buy_cash_shop_data_Message,0x011f,287,FA2C
FA2C_ans_cash_shop_banner_data_Message,0x0125,293,FA2C
FA2C_ans_cash_shop_product_item_list_Message,0x011d,285,FA2C
FA2C_ans_character_gift_get_Message,0x0137,311,FA2C
FA2C_ans_character_gift_info_Message,0x0135,309,FA2C
FA2C_ans_character_gift_my_info_Message,0x0133,307,FA2C
FA2C_ans_check_cash_shop_mode_Message,0x0116,278,FA2C
FA2C_ans_check_shop_product_Message,0x0121,289,FA2C
FA2C_ans_connection_Message,0x0102,258,FA2C
FA2C_ans_enter_game_Message,0x0108,264,FA2C
FA2C_ans_get_agreement_currency_Message,0x013b,315,FA2C
FA2C_ans_get_cash_define_Message,0x0118,280,FA2C
FA2C_ans_get_sdk_reward_Message,0x0123,291,FA2C
FA2C_ans_login_cash_shop_mode_Message,0x0127,295,FA2C
FA2C_ans_logout_cash_shop_mode_Message,0x0129,297,FA2C
FA2C_ans_ping_Message,0x0104,260,FA2C
FA2C_ans_probability_draw_Message,0x012b,299,FA2C
FA2C_ans_req_enter_game_Message,0x0302,770,FA2C
FA2C_ans_req_wait_cancel_Message,0x0304,772,FA2C
FA2C_ans_server_status_Message,0x0402,1026,FA2C
FA2C_ans_set_agreement_currency_Message,0x0139,313,FA2C
FA2C_ans_shop_mode_out_Message,0x0124,292,FA2C
FA2C_ans_shop_mode_product_list_Message,0x011c,284,FA2C
FA2C_ans_shop_mode_tab_list_Message,0x011a,282,FA2C
FA2C_ans_transfer_check_Message,0x0131,305,FA2C
FA2C_ans_verify_hexa_otp_code_Message,0x0111,273,FA2C
FA2C_ans_view_reward_list_Message,0x012d,301,FA2C
FA2C_ans_wait_cancel_Message,0x010a,266,FA2C
FA2C_ans_world_info_Message,0x0106,262,FA2C
FA2C_ans_world_info_transfer_Message,0x012f,303,FA2C
FA2C_game_sequence_Message,0x010b,267,FA2C
